Date,2330,2317,2412,1301,1303,1326,2454,2308,2882,2881,MA20_2330,MA20_2317,MA20_2412,MA20_1301,MA20_1303,MA20_1326,MA20_2454,MA20_2308,MA20_2882,MA20_2881,new_2330,new_2317,new_2412,new_1301,new_1303,new_1326,new_2454,new_2308,new_2882,new_2881
2011-11-03,73.5,83.8,100.0,86.6,65.2,85.0,311.0,71.4,33.25,32.85,74.09000000000006,80.52999999999999,100.57000000000023,84.02,62.28,82.71500000000006,301.45,69.785,32.140000000000065,31.78000000000001,,V,,V,V,V,V,V,V,V
2011-11-04,74.6,84.6,99.8,88.1,66.0,86.3,321.0,71.4,33.9,34.05,74.24500000000006,80.47999999999998,100.64500000000022,83.8,61.90999999999999,82.52500000000006,300.275,69.535,32.107500000000066,31.76250000000001,V,V,,V,V,V,V,V,V,V
2011-11-07,75.0,84.1,99.9,88.7,66.0,87.0,317.5,73.3,33.9,33.7,74.31500000000007,80.33999999999997,100.70500000000023,83.51500000000001,61.41499999999999,82.27000000000007,298.675,69.16,32.01750000000007,31.68500000000001,V,V,,V,V,V,V,V,V,V
2011-11-08,74.5,84.2,100.5,87.4,66.6,87.3,317.0,74.0,34.05,33.7,74.38000000000007,80.24499999999998,100.73500000000021,83.30000000000003,60.98499999999999,81.97500000000007,296.825,68.70500000000001,31.91750000000007,31.60500000000001,V,V,,V,V,V,V,V,V,V
2011-11-09,74.1,82.6,100.5,88.0,66.7,88.0,318.0,72.4,34.05,33.55,74.42500000000007,80.035,100.7100000000002,83.04,60.455,81.49000000000007,294.075,68.22500000000001,31.780000000000072,31.495000000000005,,V,,V,V,V,V,V,V,V
2011-11-10,72.6,79.1,100.5,86.9,66.6,86.3,309.5,70.7,32.25,31.65,74.54000000000008,79.97,100.7600000000002,82.89000000000001,60.06999999999999,81.14000000000007,291.35,67.86,31.670000000000076,31.412500000000005,,,,V,V,V,V,V,V,V
2011-11-11,73.4,82.3,100.5,86.4,66.7,85.9,312.5,71.4,32.8,32.3,74.72500000000008,80.095,100.81000000000022,82.795,59.7,80.88500000000008,288.725,67.575,31.62250000000007,31.40000000000001,,V,,V,V,V,V,V,V,V
2011-11-14,75.9,83.8,101.0,89.9,66.7,87.9,321.0,72.7,33.45,32.45,74.76000000000008,79.965,100.8350000000002,82.725,59.21999999999999,80.64000000000007,286.1,67.22,31.545000000000076,31.33250000000001,V,V,V,V,V,V,V,V,V,V
2011-11-15,76.0,82.5,101.5,89.8,66.8,88.0,315.0,72.2,33.3,31.95,74.71500000000006,79.87,100.86000000000021,82.50999999999998,58.82499999999999,80.32000000000006,283.1,66.835,31.432500000000072,31.25500000000001,V,V,V,V,V,V,V,V,V,V
2011-11-16,75.4,82.0,102.0,87.5,65.8,86.4,306.0,70.5,32.4,31.0,74.67500000000007,79.82000000000002,100.8350000000002,82.265,58.42999999999999,79.92500000000005,280.8,66.43499999999999,31.297500000000078,31.172500000000007,V,V,V,V,V,V,V,V,V,
2011-11-17,75.7,81.9,103.5,85.2,65.1,85.2,308.5,70.6,31.9,30.85,74.63000000000007,79.81500000000003,100.78500000000021,82.15,58.075,79.65500000000007,278.875,66.16499999999999,31.207500000000078,31.1425,V,V,V,V,V,V,V,V,V,
2011-11-18,74.2,80.1,102.0,80.3,61.1,80.0,308.0,70.6,31.4,31.15,74.47000000000007,79.66,100.61000000000021,82.02,57.645,79.42000000000004,276.275,65.835,31.102500000000077,31.095,,V,V,,V,V,V,V,V,V
2011-11-21,73.3,78.2,100.0,78.2,59.5,78.0,301.0,70.0,30.5,30.85,74.39500000000007,79.655,100.53500000000021,82.15,57.36500000000001,79.44500000000005,273.625,65.525,31.022500000000075,31.0125,,,,,V,,V,V,,
2011-11-22,74.0,77.6,100.5,79.1,59.3,78.6,289.0,66.9,30.7,30.8,74.35500000000006,79.635,100.56000000000022,82.41,57.13500000000001,79.57000000000005,270.75,65.2,30.912500000000072,30.875,,,,,V,,V,V,,
2011-11-23,73.4,75.2,100.0,78.7,56.1,77.3,284.0,64.2,29.8,30.3,74.29500000000007,79.655,100.5850000000002,82.545,56.88500000000001,79.62000000000005,268.85,65.07,30.77750000000007,30.735000000000007,,,,,,,V,,,
