Date,2330,2317,2412,1301,1303,1326,2454,2308,2882,2881,MA12_2330,MA26_2330,DIF_2330,MACD_2330,buff_2330,signal_2330,MA12_2317,MA26_2317,DIF_2317,MACD_2317,buff_2317,signal_2317,MA12_2412,MA26_2412,DIF_2412,MACD_2412,buff_2412,signal_2412,MA12_1301,MA26_1301,DIF_1301,MACD_1301,buff_1301,signal_1301,MA12_1303,MA26_1303,DIF_1303,MACD_1303,buff_1303,signal_1303,MA12_1326,MA26_1326,DIF_1326,MACD_1326,buff_1326,signal_1326,MA12_2454,MA26_2454,DIF_2454,MACD_2454,buff_2454,signal_2454,MA12_2308,MA26_2308,DIF_2308,MACD_2308,buff_2308,signal_2308,MA12_2882,MA26_2882,DIF_2882,MACD_2882,buff_2882,signal_2882,MA12_2881,MA26_2881,DIF_2881,MACD_2881,buff_2881,signal_2881
2011-11-16,75.4,90.2003,102.0,87.5,65.8,86.4,306.0,70.2905,32.2412,31.0,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,
2011-11-17,75.7,90.09026,103.5,85.2,65.1001,85.2001,308.5,70.3902,31.7437,30.85,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,
2011-11-18,74.2,88.11021,102.0,80.3,61.0999,80.0,308.0,70.3902,31.2461,31.15,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,
2011-11-21,73.3,86.02027,100.0,78.2,59.5,78.0,301.0,69.792,30.3506,30.85,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,
2011-11-22,74.0,85.3602,100.5,79.1,59.3,78.6,289.0,66.7012,30.5495,30.8,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,
2011-11-23,73.4,82.72024,100.0,78.7,56.1,77.3001,284.0,64.0092,29.654,30.3,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,
2011-11-24,72.8,83.60023000000002,100.5,79.8,58.4,78.5,273.5,65.6045,30.9974,31.15,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,
2011-11-25,71.6,83.27027,99.5,78.3,55.7,76.2,273.5,66.8009,30.4501,30.45,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,
2011-11-28,73.6,85.69015999999998,100.0,80.6,55.8,77.3001,281.0,67.3991,31.2461,31.0,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,
2011-11-29,73.6,87.23021999999997,99.6,81.5,56.3,77.7,282.5,67.798,31.3457,31.45,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,
2011-11-30,74.6,87.67021,99.6,79.4,55.2,77.4,279.5,64.8069,30.3506,30.4,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,,,,nan,,0.0,
2011-12-01,76.6,91.08029,101.5,82.2,57.8,81.2,287.5,66.2027,32.4403,32.4999,74.06666666666668,,nan,,0.0,,86.75357166666667,,nan,,0.0,,100.72500000000001,,nan,,0.0,,80.89999999999999,,nan,,0.0,,58.84166666666666,,nan,,0.0,,79.48335833333334,,nan,,0.0,,289.5,,nan,,0.0,,67.51544999999999,,nan,,0.0,,31.051275,,nan,,0.0,,30.991658333333334,,nan,,0.0,
2011-12-02,76.0,89.98023,101.0,82.4,56.1,81.2,289.0,63.7101,31.9428,32.4999,74.11666666666667,,nan,,0.0,,86.73523250000001,,nan,,0.0,,100.64166666666667,,nan,,0.0,,80.47500000000001,,nan,,0.0,,58.03333333333333,,nan,,0.0,,79.05002500000002,,nan,,0.0,,288.0833333333333,,nan,,0.0,,66.96708333333332,,nan,,0.0,,31.026408333333332,,nan,,0.0,,31.116650000000003,,nan,,0.0,
2011-12-05,76.3,90.42022,100.5,84.3999,57.4,81.1,280.5,64.0092,31.7437,32.1,74.16666666666667,,nan,,0.0,,86.76272916666669,,nan,,0.0,,100.39166666666667,,nan,,0.0,,80.408325,,nan,,0.0,,57.39165833333333,,nan,,0.0,,78.70835000000001,,nan,,0.0,,285.75,,nan,,0.0,,66.43533333333333,,nan,,0.0,,31.026408333333332,,nan,,0.0,,31.220816666666668,,nan,,0.0,
2011-12-06,75.4,88.00017,100.0,82.2,56.0,77.6,262.0,64.2087,31.1466,31.5,74.26666666666667,,nan,,0.0,,86.75355916666668,,nan,,0.0,,100.22500000000001,,nan,,0.0,,80.56665833333335,,nan,,0.0,,56.96666666666666,,nan,,0.0,,78.50835000000002,,nan,,0.0,,281.9166666666667,,nan,,0.0,,65.92020833333333,,nan,,0.0,,31.01811666666666,,nan,,0.0,,31.249983333333336,,nan,,0.0,
2011-12-07,76.4,89.43019,101.5,85.0,59.0,81.0,263.5,64.9066,31.6939,31.9,74.52499999999999,,nan,,0.0,,87.03771916666669,,nan,,0.0,,100.35000000000001,,nan,,0.0,,81.13332500000001,,nan,,0.0,,56.92499999999999,,nan,,0.0,,78.75835000000002,,nan,,0.0,,278.7916666666667,,nan,,0.0,,65.51309166666667,,nan,,0.0,,31.130058333333327,,nan,,0.0,,31.337483333333335,,nan,,0.0,
